"marketName","action","usdcAmount","tokenAmount","tokenName","timestamp","hash"
"Bitcoin Up or Down - April 30, 12:25PM-12:30PM ET","Redeem","2","2","","1777566694","0x1d3df2c1418eef11f0e60c1e5b031170811f2bb7847e15cab2d51405785ff689"
"Bitcoin Up or Down - April 30, 12:25PM-12:30PM ET","Buy","1.8505900000000002","2","Down","1777566512","0xb9aa03d084fd69cd7806b69ee0a63484d3e1623dafc7b940cc4767b9246d6cc4"
"Bitcoin Up or Down - April 30, 12:15PM-12:20PM ET","Redeem","0","0","","1777566034","0x9d25032c664348f08c35b17b8e721302a66e4fb40100bd90a9c671520d2ed9b9"
"Bitcoin Up or Down - April 30, 12:15PM-12:20PM ET","Redeem","2","2","","1777566032","0x1b564e76170fd9296e050a7575132685923012750fc8e7499baa998e732de2af"
"Bitcoin Up or Down - April 30, 12:10PM-12:15PM ET","Redeem","0","0","","1777565808","0x7907ea41906678efdc3e58c86df406c024363e70b4a9cf03f9560519dc056ee2"
"Bitcoin Up or Down - April 30, 12:10PM-12:15PM ET","Redeem","2","2","","1777565802","0xd6520b871a0f3bdd7a1cd5cbf6c3e9011eb0509d6a9175d1d28df70a00135190"
"Bitcoin Up or Down - April 30, 11:35AM-11:40AM ET","Redeem","0","0","","1777564740","0xb704ac2c7cf32bfb7bd8105ca987fbe7a14548ea63fb7624bd0bac797841e791"
"Bitcoin Up or Down - April 30, 11:50AM-11:55AM ET","Redeem","0","0","","1777564734","0x72fc53e3c4b7805063e71b3267a76550b4db85cfca028c687563023a6643cae9"
"Bitcoin Up or Down - April 30, 11:50AM-11:55AM ET","Redeem","3","3","","1777564568","0x7ce0648155301e100f8477aa9a954c6247be300d88d13474b8b022c6cc0853bd"
"Bitcoin Up or Down - April 30, 11:50AM-11:55AM ET","Buy","2.74769","3","Up","1777564458","0x1f82ab5303393bc7f00c87db4a808aae9a61fca05429d49f45077e020570bc8e"
"Bitcoin Up or Down - April 30, 11:40AM-11:45AM ET","Redeem","3","3","","1777564004","0x43339fe97ce138858c997bbb9990a3eeeb7226751b6eb2837d4a0af18a62335c"
"Bitcoin Up or Down - April 30, 11:40AM-11:45AM ET","Buy","2.77589","3","Down","1777563852","0xce953d9a0bef6ae1b9eea5c9bfeb52e892d17ba71741a60cd38dad0a96f5aaf8"
"Bitcoin Up or Down - April 30, 11:35AM-11:40AM ET","Sell","2.9357699999999998","3","Up","1777563594","0x7426b50be69effc5e8b7a4883536bc1e6b93d6a99cdbefeb6d7f1ba483d44947"
"Bitcoin Up or Down - April 30, 11:35AM-11:40AM ET","Buy","2.80406","3","Up","1777563542","0x873e02d3bbc96501c769d90e919a78b2832e25adab9cd447ee076051b22275a8"
"Bitcoin Up or Down - April 30, 11:05AM-11:10AM ET","Redeem","0","0","","1777562148","0xda19a2d679f08f1a002490081414a0708f77a117b5a3d1da1af59428beff5c17"
"Bitcoin Up or Down - April 30, 11:05AM-11:10AM ET","Sell","2.96787","3","Up","1777561794","0xfe3399ea78b88304bd088f902f69a69d350d578014b633b0cfff29cd54143e52"
"Bitcoin Up or Down - April 30, 11:05AM-11:10AM ET","Buy","2.6628000000000003","3","Up","1777561714","0xfdf0b9c412050d52f35595f8c29b4aa8568bc78384fb113bf192994cf2636ec3"
"Bitcoin Up or Down - April 30, 10:45AM-10:50AM ET","Sell","1.97858","2","Up","1777560594","0xc6aca8acd357986e60404945016357cd5fddb6363756645fd842973a95fde876"
"Bitcoin Up or Down - April 30, 10:45AM-10:50AM ET","Buy","1.7183599999999999","2","Up","1777560556","0x8b6e69712a8ad5e4fc30056064a6721c5d33d62eeca44bda3ec05af6d558f508"
"Bitcoin Up or Down - April 30, 10:30AM-10:35AM ET","Redeem","0","0","","1777560326","0x405a0c2e5acf030df412476595686a79ddd2442de7e1a85696bb24703071e3bb"
"Bitcoin Up or Down - April 30, 10:35AM-10:40AM ET","Redeem","2","2","","1777560042","0x582cdf37c8143aa3f53086b552bc2c631f0bafbdc96d732792b3cd4b5ae57a3b"
"Bitcoin Up or Down - April 30, 10:35AM-10:40AM ET","Buy","1.8693700000000002","2","Down","1777559938","0x17ddb58eee42cedfb11bbbd2c75feeb03500511cfdae2b2e5c24d0ec16b140f4"
"Bitcoin Up or Down - April 30, 10:30AM-10:35AM ET","Buy","2.8602600000000002","3","Up","1777559642","0xfa5e492e0fa94f79f5f7e2ca342f10c47b9f6288ac7cdf2ae5ffcf2a9f4f46d2"
"Bitcoin Up or Down - April 30, 10:10AM-10:15AM ET","Redeem","0","0","","1777558590","0xfac02b5eb44bf4c3aa24a1b86baaaf99cd685ac2dc4f7ff731cffb2de48174bf"
"Bitcoin Up or Down - April 30, 10:10AM-10:15AM ET","Sell","2.96787","3","Down","1777558494","0x2fc91eacbe494bcec2952b23ff6d0aeec553038cda370ccbdac2e2fb89ff6151"
"Bitcoin Up or Down - April 30, 10:10AM-10:15AM ET","Buy","2.8602600000000002","3","Down","1777558428","0xcb82c05ef425fe026276d7178c370399bcb5e16b8d5f82121261591627a81ad7"
"Bitcoin Up or Down - April 30, 9:35AM-9:40AM ET","Sell","2.96787","3","Up","1777556394","0x9b17f28f8958e7e28544958f7cc218da6d7a49ccd73e93410b5d24e00a45e504"
"Bitcoin Up or Down - April 30, 9:35AM-9:40AM ET","Sell","2.96787","3","Up","1777556394","0x9b17f28f8958e7e28544958f7cc218da6d7a49ccd73e93410b5d24e00a45e504"
"Bitcoin Up or Down - April 30, 9:35AM-9:40AM ET","Buy","2.69114","3","Up","1777556338","0xfb382fcf9275387992f750f46639d9f39bd2b85fca354825403a8edf1acc2981"
"Bitcoin Up or Down - April 30, 9:35AM-9:40AM ET","Buy","2.69114","3","Up","1777556338","0xfb382fcf9275387992f750f46639d9f39bd2b85fca354825403a8edf1acc2981"
"Bitcoin Up or Down - April 30, 9:00AM-9:05AM ET","Sell","2.96787","3","Up","1777554294","0x14eee29113965d205af74a58aad5f064f2589768a04eb18f17bfb33c9048137b"
"Bitcoin Up or Down - April 30, 9:00AM-9:05AM ET","Sell","2.96787","3","Up","1777554294","0x14eee29113965d205af74a58aad5f064f2589768a04eb18f17bfb33c9048137b"
"Bitcoin Up or Down - April 30, 9:00AM-9:05AM ET","Buy","2.74769","3","Up","1777554212","0x4166eba0d07044dbceced092406a01f2d0fdcea8dd95738a09d4b5759f4d9f7f"
"Bitcoin Up or Down - April 30, 9:00AM-9:05AM ET","Buy","2.74769","3","Up","1777554212","0x4166eba0d07044dbceced092406a01f2d0fdcea8dd95738a09d4b5759f4d9f7f"
"Bitcoin Up or Down - April 30, 6:20AM-6:25AM ET","Redeem","0","0","","1777551792","0xda476c57c7caa62202a430ac6c08ca30e58f9f14d9da7d84f171225524b1c60e"
"Bitcoin Up or Down - April 30, 8:15AM-8:20AM ET","Sell","2.96787","3","Up","1777551594","0xb18c575be48621ccd5407f7d800a1188aef676a29e8c1189d5f8cf8ac0c6ecc2"
"Bitcoin Up or Down - April 30, 8:15AM-8:20AM ET","Sell","2.96787","3","Up","1777551594","0xb18c575be48621ccd5407f7d800a1188aef676a29e8c1189d5f8cf8ac0c6ecc2"
"Bitcoin Up or Down - April 30, 8:15AM-8:20AM ET","Buy","2.8602600000000002","3","Up","1777551520","0xbc75ed9df5b59a97fcc4adc4d76ac49b9d7733eadf2573806f1932ddeaa2830a"
"Bitcoin Up or Down - April 30, 8:15AM-8:20AM ET","Buy","2.8602600000000002","3","Up","1777551520","0xbc75ed9df5b59a97fcc4adc4d76ac49b9d7733eadf2573806f1932ddeaa2830a"
"Bitcoin Up or Down - April 30, 6:20AM-6:25AM ET","Redeem","0","0","","1777551306","0x7e725c6ff7be28a0633c8fbbeef5f389c9855e8b050d76766e24659c579dd8af"
"Bitcoin Up or Down - April 30, 7:00AM-7:05AM ET","Redeem","0","0","","1777551274","0xcdfdb42cdd03e1c5d386367ba9eaf9280ceaf2c6eb038720d98c60bba1487ca6"
