Timestamp,Open,High,Low,Close,Volume
2026-04-05T00:05:00.000Z,67298.86000000,67298.87000000,67270.59000000,67277.07000000,6.05526000
2026-04-05T00:10:00.000Z,67277.06000000,67277.07000000,67241.23000000,67257.37000000,8.45793000
2026-04-05T00:15:00.000Z,67257.38000000,67257.38000000,67242.96000000,67256.32000000,13.19918000
2026-04-05T00:20:00.000Z,67256.31000000,67256.32000000,67239.47000000,67245.99000000,7.78153000
2026-04-05T00:25:00.000Z,67246.00000000,67273.59000000,67232.00000000,67264.42000000,71.45355000
2026-04-05T00:30:00.000Z,67264.42000000,67264.43000000,67231.51000000,67241.17000000,69.90172000
2026-04-05T00:35:00.000Z,67241.17000000,67259.95000000,67241.16000000,67259.94000000,6.67440000
2026-04-05T00:40:00.000Z,67259.95000000,67270.69000000,67247.83000000,67247.83000000,38.56355000
2026-04-05T00:45:00.000Z,67247.83000000,67272.81000000,67244.05000000,67244.05000000,41.74376000
2026-04-05T00:50:00.000Z,67244.06000000,67244.06000000,67205.00000000,67215.58000000,24.32480000
2026-04-05T00:55:00.000Z,67215.58000000,67225.01000000,67168.08000000,67225.00000000,135.08461000
2026-04-05T01:00:00.000Z,67225.00000000,67230.00000000,67159.62000000,67165.66000000,19.72074000
2026-04-05T01:05:00.000Z,67165.65000000,67169.22000000,67120.00000000,67149.36000000,27.02088000
2026-04-05T01:10:00.000Z,67149.37000000,67205.45000000,67149.34000000,67189.67000000,14.28520000
2026-04-05T01:15:00.000Z,67189.68000000,67189.68000000,67163.25000000,67163.25000000,5.56040000
2026-04-05T01:20:00.000Z,67163.26000000,67174.95000000,67137.10000000,67146.88000000,8.43949000
2026-04-05T01:25:00.000Z,67146.89000000,67154.64000000,67128.00000000,67130.21000000,55.80848000
2026-04-05T01:30:00.000Z,67130.22000000,67130.22000000,67080.08000000,67119.15000000,58.60047000
2026-04-05T01:35:00.000Z,67119.15000000,67119.16000000,67085.28000000,67088.34000000,27.96624000
2026-04-05T01:40:00.000Z,67088.33000000,67108.41000000,67080.00000000,67086.71000000,69.25099000
2026-04-05T01:45:00.000Z,67086.71000000,67107.18000000,67086.71000000,67107.18000000,11.21089000
2026-04-05T01:50:00.000Z,67107.18000000,67119.81000000,67105.80000000,67105.80000000,9.06575000
2026-04-05T01:55:00.000Z,67105.81000000,67110.30000000,67082.40000000,67085.00000000,62.63582000
2026-04-05T02:00:00.000Z,67085.00000000,67090.71000000,66955.72000000,67042.54000000,131.01513000
2026-04-05T02:05:00.000Z,67042.55000000,67046.52000000,67012.00000000,67015.29000000,6.10585000
2026-04-05T02:10:00.000Z,67015.30000000,67015.30000000,66989.02000000,66998.37000000,14.50456000
2026-04-05T02:15:00.000Z,66998.37000000,67078.93000000,66992.29000000,67078.92000000,17.03123000
2026-04-05T02:20:00.000Z,67078.92000000,67111.68000000,67067.08000000,67107.65000000,15.49106000
2026-04-05T02:25:00.000Z,67107.65000000,67158.60000000,67106.01000000,67129.50000000,21.75246000
2026-04-05T02:30:00.000Z,67129.50000000,67171.16000000,67118.03000000,67149.37000000,8.59938000
2026-04-05T02:35:00.000Z,67149.38000000,67155.22000000,67133.38000000,67148.01000000,10.21648000
2026-04-05T02:40:00.000Z,67148.01000000,67148.01000000,67135.95000000,67135.96000000,4.24825000
2026-04-05T02:45:00.000Z,67135.96000000,67141.76000000,67129.23000000,67135.82000000,4.20990000
2026-04-05T02:50:00.000Z,67135.82000000,67162.94000000,67135.81000000,67162.93000000,6.87386000
2026-04-05T02:55:00.000Z,67162.93000000,67174.92000000,67162.93000000,67170.16000000,12.37611000
2026-04-05T03:00:00.000Z,67170.17000000,67187.93000000,67170.16000000,67175.94000000,9.47686000
2026-04-05T03:05:00.000Z,67175.94000000,67175.94000000,67154.64000000,67163.40000000,8.89849000
2026-04-05T03:10:00.000Z,67163.40000000,67188.09000000,67156.78000000,67188.08000000,35.69411000
2026-04-05T03:15:00.000Z,67188.08000000,67188.09000000,67155.61000000,67155.61000000,34.07331000
2026-04-05T03:20:00.000Z,67155.61000000,67160.64000000,67131.44000000,67160.63000000,6.83742000
2026-04-05T03:25:00.000Z,67160.63000000,67160.63000000,67154.64000000,67154.64000000,7.04151000
2026-04-05T03:30:00.000Z,67154.65000000,67154.65000000,67105.53000000,67105.53000000,5.09245000
2026-04-05T03:35:00.000Z,67105.53000000,67120.20000000,67089.33000000,67116.09000000,17.90021000
2026-04-05T03:40:00.000Z,67116.09000000,67139.13000000,67116.08000000,67139.12000000,7.34409000
2026-04-05T03:45:00.000Z,67139.13000000,67140.68000000,67134.99000000,67134.99000000,11.29523000
2026-04-05T03:50:00.000Z,67134.99000000,67135.00000000,67122.42000000,67132.89000000,10.70742000
2026-04-05T03:55:00.000Z,67132.89000000,67145.98000000,67124.55000000,67145.98000000,9.33374000
2026-04-05T04:00:00.000Z,67145.98000000,67145.99000000,67112.86000000,67133.77000000,8.67669000
2026-04-05T04:05:00.000Z,67133.78000000,67133.78000000,67108.02000000,67108.03000000,3.06158000
2026-04-05T04:10:00.000Z,67108.03000000,67108.03000000,67073.56000000,67087.21000000,6.38215000
2026-04-05T04:15:00.000Z,67087.22000000,67117.24000000,67083.47000000,67117.23000000,6.69930000
2026-04-05T04:20:00.000Z,67117.24000000,67134.63000000,67117.23000000,67126.93000000,8.25169000
2026-04-05T04:25:00.000Z,67126.93000000,67188.51000000,67126.93000000,67188.51000000,5.89016000
2026-04-05T04:30:00.000Z,67188.51000000,67188.51000000,67164.81000000,67164.81000000,6.16139000
2026-04-05T04:35:00.000Z,67164.82000000,67164.82000000,67150.01000000,67154.64000000,4.65838000
2026-04-05T04:40:00.000Z,67154.65000000,67154.65000000,67130.28000000,67130.29000000,3.92726000
2026-04-05T04:45:00.000Z,67130.29000000,67130.29000000,67086.68000000,67086.68000000,4.02608000
2026-04-05T04:50:00.000Z,67086.68000000,67119.85000000,67086.68000000,67101.61000000,8.23357000
2026-04-05T04:55:00.000Z,67101.60000000,67140.62000000,67093.22000000,67101.65000000,26.92678000
2026-04-05T05:00:00.000Z,67101.65000000,67125.20000000,67095.01000000,67125.19000000,3.55338000
2026-04-05T05:05:00.000Z,67125.20000000,67135.02000000,67114.88000000,67128.72000000,2.89401000
2026-04-05T05:10:00.000Z,67128.72000000,67154.98000000,67112.59000000,67112.59000000,10.36705000
2026-04-05T05:15:00.000Z,67112.60000000,67134.01000000,67108.00000000,67126.00000000,78.75406000
2026-04-05T05:20:00.000Z,67126.00000000,67126.01000000,67054.68000000,67092.01000000,47.29326000
2026-04-05T05:25:00.000Z,67092.00000000,67100.63000000,67091.65000000,67095.00000000,26.96680000
2026-04-05T05:30:00.000Z,67095.01000000,67109.14000000,67095.00000000,67106.81000000,11.61513000
2026-04-05T05:35:00.000Z,67106.81000000,67106.82000000,67054.95000000,67076.30000000,150.54304000
2026-04-05T05:40:00.000Z,67076.31000000,67085.48000000,67076.30000000,67085.48000000,2.59969000
2026-04-05T05:45:00.000Z,67085.48000000,67098.90000000,67076.88000000,67076.88000000,8.06350000
2026-04-05T05:50:00.000Z,67076.89000000,67076.89000000,66948.15000000,66985.96000000,26.30046000
2026-04-05T05:55:00.000Z,66985.96000000,66985.96000000,66888.00000000,66931.65000000,97.44146000
2026-04-05T06:00:00.000Z,66931.65000000,66940.00000000,66895.92000000,66937.04000000,26.49262000
2026-04-05T06:05:00.000Z,66937.05000000,66937.05000000,66690.47000000,66704.81000000,101.81291000
2026-04-05T06:10:00.000Z,66704.81000000,66734.52000000,66626.66000000,66660.33000000,113.82852000
2026-04-05T06:15:00.000Z,66660.33000000,66686.66000000,66611.66000000,66679.06000000,65.09261000
2026-04-05T06:20:00.000Z,66679.07000000,66766.85000000,66679.06000000,66745.99000000,55.98645000
2026-04-05T06:25:00.000Z,66745.99000000,66777.79000000,66745.98000000,66763.88000000,14.34891000
2026-04-05T06:30:00.000Z,66763.87000000,66842.67000000,66763.87000000,66810.39000000,43.28624000
2026-04-05T06:35:00.000Z,66810.39000000,66850.00000000,66788.30000000,66805.00000000,91.16625000
2026-04-05T06:40:00.000Z,66805.00000000,66835.72000000,66805.00000000,66826.59000000,73.45962000
2026-04-05T06:45:00.000Z,66826.58000000,66843.60000000,66806.00000000,66831.90000000,24.68414000
2026-04-05T06:50:00.000Z,66831.90000000,66858.01000000,66829.89000000,66829.90000000,14.35808000
2026-04-05T06:55:00.000Z,66829.90000000,66864.42000000,66800.00000000,66802.24000000,103.82500000
2026-04-05T07:00:00.000Z,66802.24000000,66891.41000000,66802.24000000,66865.31000000,115.40821000
2026-04-05T07:05:00.000Z,66865.32000000,66898.97000000,66865.31000000,66877.52000000,11.84690000
2026-04-05T07:10:00.000Z,66877.52000000,66914.48000000,66860.15000000,66905.10000000,28.78907000
2026-04-05T07:15:00.000Z,66905.09000000,66912.59000000,66805.64000000,66843.85000000,54.22966000
2026-04-05T07:20:00.000Z,66843.85000000,66843.85000000,66823.46000000,66823.47000000,11.66962000
2026-04-05T07:25:00.000Z,66823.46000000,66823.47000000,66800.01000000,66816.96000000,9.92686000
2026-04-05T07:30:00.000Z,66816.96000000,66816.96000000,66736.80000000,66764.53000000,41.37289000
2026-04-05T07:35:00.000Z,66764.53000000,66767.57000000,66715.43000000,66737.43000000,20.79981000
2026-04-05T07:40:00.000Z,66737.44000000,66780.43000000,66737.43000000,66767.02000000,12.72328000
2026-04-05T07:45:00.000Z,66767.02000000,66805.51000000,66750.00000000,66750.01000000,147.12734000
2026-04-05T07:50:00.000Z,66750.00000000,66800.03000000,66740.39000000,66800.02000000,146.90279000
2026-04-05T07:55:00.000Z,66800.03000000,66829.03000000,66800.02000000,66820.64000000,15.00249000
2026-04-05T08:00:00.000Z,66820.64000000,66876.63000000,66819.42000000,66854.83000000,24.46145000
