Timestamp,Open,High,Low,Close,Volume,CloseTime,AssetVol,Trades,BuyVol,BuyAssetVol,Ignore
2026-03-30 20:00:00,66550.06,66606.83,66523.75,66553.83,45.82521000,1774901099999,3050393.74438100,10573,24.01286000,1598674.18569960,0
2026-03-30 20:05:00,66553.84,66691.48,66553.84,66637.81,36.72565000,1774901399999,2447122.89198070,12752,20.72709000,1381077.70450870,0
2026-03-30 20:10:00,66637.81,66677.34,66598.07,66598.34,25.73386000,1774901699999,1715033.99138470,6316,14.63651000,975499.02852110,0
2026-03-30 20:15:00,66598.34,66627.53,66553.92,66600.57,34.99076000,1774901999999,2329802.09252390,14030,18.46972000,1229752.04266790,0
2026-03-30 20:20:00,66600.57,66672.96,66600.57,66666.29,26.33746000,1774902299999,1755419.76980940,10426,21.41506000,1427342.64240260,0
2026-03-30 20:25:00,66666.28,66666.29,66637.66,66655.94,28.19971000,1774902599999,1879654.90367780,6087,21.07827000,1404954.48586670,0
2026-03-30 20:30:00,66655.95,66671.73,66568.1,66592.79,20.86357000,1774902899999,1389990.12125190,6292,11.08261000,738263.44152780,0
2026-03-30 20:35:00,66592.79,66660.75,66554.01,66660.74,20.47996000,1774903199999,1363558.65068200,6196,15.00899000,999257.42307760,0
2026-03-30 20:40:00,66660.74,66682.82,66643.32,66664.66,22.01366000,1774903499999,1467443.85939680,7372,9.21777000,614457.96993770,0
2026-03-30 20:45:00,66664.66,66674.9,66610.02,66629.88,22.43204000,1774903799999,1495032.61996440,7231,11.45991000,763714.89153080,0
2026-03-30 20:50:00,66629.88,66662.18,66621.97,66662.17,16.05769000,1774904099999,1069934.45758040,3292,7.97544000,531412.12005730,0
2026-03-30 20:55:00,66662.18,66669.51,66644.85,66651.4,24.95245000,1774904399999,1663347.03487120,6485,11.52396000,768181.40200150,0
2026-03-30 21:00:00,66651.41,66659.04,66607.39,66607.4,26.71841000,1774904699999,1780178.09305420,6317,10.29163000,685726.43283390,0
2026-03-30 21:05:00,66607.4,66730.94,66587.32,66716.8,61.45595000,1774904999999,4097107.09949340,6945,46.96081000,3130953.32474920,0
2026-03-30 21:10:00,66716.79,66797.38,66714.74,66786.13,55.98223000,1774905299999,3737080.76617810,14297,34.45209000,2299643.28523360,0
2026-03-30 21:15:00,66786.13,66870.33,66771.61,66859.52,67.97556000,1774905599999,4543007.81483650,12092,40.39347000,2699609.44687600,0
2026-03-30 21:20:00,66859.52,66994.17,66859.51,66972.96,101.90153000,1774905899999,6821704.85838730,12658,86.67836000,5802598.23534950,0
2026-03-30 21:25:00,66972.96,66972.96,66850.0,66860.47,23.93506000,1774906199999,1601198.57565080,5923,7.98157000,533677.08798090,0
2026-03-30 21:30:00,66860.47,66895.58,66820.64,66880.71,28.00941000,1774906499999,1872630.25422290,5836,10.04213000,671296.36038710,0
2026-03-30 21:35:00,66880.71,66948.98,66860.46,66921.07,17.33736000,1774906799999,1159723.23166810,5157,9.39644000,628474.15176780,0
2026-03-30 21:40:00,66921.07,66991.93,66861.71,66929.46,43.82685000,1774907099999,2933571.13134980,12901,29.61745000,1982490.43342730,0
2026-03-30 21:45:00,66929.46,66945.08,66860.47,66895.12,22.23377000,1774907399999,1487390.26230390,8777,10.92544000,730822.22055050,0
2026-03-30 21:50:00,66895.12,66927.56,66862.46,66862.46,12.71637000,1774907699999,850700.00218530,6088,5.36267000,358745.19563460,0
2026-03-30 21:55:00,66862.45,66862.46,66799.58,66809.3,19.32950000,1774907999999,1291801.96725250,6846,8.42009000,562653.24807430,0
