time_utc,time_local,strike,entry,delta_pct,direction,pnl_usd
2026-04-05 02:15:00+00:00,2026-04-05 04:15:00+00:00,66998.37,67078.92,0.12022680551781023,LONG,0.012849044081208788
2026-04-05 05:50:00+00:00,2026-04-05 07:50:00+00:00,67076.89,66985.96,0.13556084666416857,SHORT,0.024323007388419405
2026-04-05 06:05:00+00:00,2026-04-05 08:05:00+00:00,66937.05,66704.81,0.34695284599486415,SHORT,0.020004554394201526
2026-04-05 06:20:00+00:00,2026-04-05 08:20:00+00:00,66679.07,66745.99,0.10036132777496484,LONG,0.008040932496468815
2026-04-05 10:35:00+00:00,2026-04-05 12:35:00+00:00,67008.0,67117.73,0.16375656638012764,LONG,-0.014187011390279745
2026-04-05 12:00:00+00:00,2026-04-05 14:00:00+00:00,66998.99,66922.58,0.1140464953277706,SHORT,-0.009884556154291829
2026-04-05 12:30:00+00:00,2026-04-05 14:30:00+00:00,66885.92,66764.53,0.18148812186481014,SHORT,0.01167835675620209
2026-04-05 12:50:00+00:00,2026-04-05 14:50:00+00:00,66699.34,66779.28,0.11985126089703786,LONG,0.001931736910012916
2026-04-05 13:00:00+00:00,2026-04-05 15:00:00+00:00,66783.59,66852.29,0.10286958218328349,LONG,-0.016801219524411704
2026-04-05 13:25:00+00:00,2026-04-05 15:25:00+00:00,66832.2,66703.67,0.19231747570781574,SHORT,-0.029999999999994628
2026-04-05 13:30:00+00:00,2026-04-05 15:30:00+00:00,66703.67,66812.54,0.16321440784291982,LONG,0.013290918142016075
2026-04-05 15:25:00+00:00,2026-04-05 17:25:00+00:00,66984.74,67500.0,0.7692199745792769,LONG,-0.03
2026-04-05 15:35:00+00:00,2026-04-05 17:35:00+00:00,67480.56,67401.01,0.11788580296310953,SHORT,-0.01610806722332603
2026-04-05 16:45:00+00:00,2026-04-05 18:45:00+00:00,67323.48,67215.99,0.1596619782577946,SHORT,0.009703048337161398
2026-04-05 17:25:00+00:00,2026-04-05 19:25:00+00:00,67242.89,67339.56,0.14376241116346763,LONG,-0.013022063108221642
2026-04-05 17:35:00+00:00,2026-04-05 19:35:00+00:00,67310.33,67385.95,0.11234531163343776,LONG,-0.011121012614645601
